airline_sentiment,negativereason,airline,name
negative,Can't Tell,Virgin America,GunsNDip
negative,Can't Tell,Virgin America,GunsNDip
negative,Flight Booking Problems,Virgin America,jsatk
neutral,,Virgin America,serenaklal
neutral,,Virgin America,openambit1
neutral,,Virgin America,cabowine
negative,Can't Tell,Virgin America,MaryAnnTaylorT
neutral,,Virgin America,RamotControl
neutral,,Virgin America,losermelon
negative,Cancelled Flight,Virgin America,AlisonK33774854
negative,Late Flight,Virgin America,GunsNDip
neutral,,Virgin America,yazdanagh
negative,Customer Service Issue,Virgin America,MerchEngines
negative,Customer Service Issue,Virgin America,ColorCartel
negative,Can't Tell,Virgin America,MustBeSpoken
negative,Flight Booking Problems,Virgin America,mattbunk
negative,Customer Service Issue,Virgin America,louisjenny
neutral,,Virgin America,STravelsW
negative,Late Flight,Virgin America,GunsNDip
neutral,,Virgin America,joeyrenagade
negative,Late Flight,Virgin America,mrmichaellay
negative,Late Flight,Virgin America,GunsNDip
positive,,Virgin America,TheDuchessSF
negative,Customer Service Issue,Virgin America,BeLeather
negative,Flight Booking Problems,Virgin America,BeLeather
neutral,,Virgin America,drcaseydrake
positive,,Virgin America,flyfromWAS
neutral,,Virgin America,flyfromSEA
positive,,Virgin America,flyfromNYC
neutral,,Virgin America,flyfromLAX
positive,,Virgin America,Silvanabfer
positive,,Virgin America,AdamJdubs
negative,Late Flight,Virgin America,nicholas_v
positive,,Virgin America,tstashajones
positive,,Virgin America,SkateMamas
positive,,Virgin America,dngoo
positive,,Virgin America,SamBrittenham
negative,Customer Service Issue,Virgin America,usagibrian
negative,Flight Booking Problems,Virgin America,usagibrian
negative,Customer Service Issue,Virgin America,KindofLuke
positive,,Virgin America,ptbrodie
positive,,Virgin America,cheryleng
neutral,,Virgin America,HishamSharaby
negative,Customer Service Issue,Virgin America,ChrisFordisHere
positive,,Virgin America,JKF1897
neutral,,Virgin America,F6x
neutral,,Virgin America,lawyang588
negative,Customer Service Issue,Virgin America,melokudo
negative,Can't Tell,Virgin America,ChrysiChrysic
neutral,,Virgin America,nikkisixxfan93
negative,Cancelled Flight,Virgin America,ChrysiChrysic
negative,Late Flight,Virgin America,MOCBlogger
negative,Customer Service Issue,Virgin America,tfaz
positive,,Virgin America,lisaptv
neutral,,Virgin America,dropapp
positive,,Virgin America,HollywoodHotMom
negative,Flight Booking Problems,Virgin America,GoShar2012
negative,Flight Attendant Complaints,Virgin America,MOCBlogger
positive,,Virgin America,SkateMamas
neutral,,Virgin America,FiDiFamilies
negative,Late Flight,Virgin America,jarrydosborne
positive,,Virgin America,HollywoodHotMom
negative,Cancelled Flight,Virgin America,mlorenzen
negative,Flight Booking Problems,Virgin America,Tyler_Starrine
positive,,Virgin America,jessicajaymes
positive,,Virgin America,livingfitly
negative,Damaged Luggage,Virgin America,khartline
negative,Damaged Luggage,Virgin America,khartline
neutral,,Virgin America,MACRoxburgh
positive,,Virgin America,paulnakada
neutral,,Virgin America,wildcatdad
neutral,,Virgin America,RheaThurman1
neutral,,Virgin America,Osiris91780
neutral,,Virgin America,HeatherWhoo
negative,Customer Service Issue,Virgin America,paulnakada
negative,Cancelled Flight,Virgin America,RampantSmashing
negative,Flight Booking Problems,Virgin America,intlwriter
negative,Late Flight,Virgin America,finslippy
negative,Cancelled Flight,Virgin America,finslippy
negative,Bad Flight,Virgin America,Gr8Fratsby
negative,Customer Service Issue,Virgin America,sbaaronson
negative,Customer Service Issue,Virgin America,jonesbasf
negative,Customer Service Issue,Virgin America,Gr8Fratsby
neutral,,Virgin America,NewsSWA
negative,Customer Service Issue,Virgin America,CSHangover
negative,longlines,Virgin America,girlphotophilly
neutral,,Virgin America,NewsSWA
neutral,,Virgin America,NewsSWA
neutral,,Virgin America,Graemelodge5545
neutral,,Virgin America,NewsSWA
negative,Can't Tell,Virgin America,Boards707
negative,Customer Service Issue,Virgin America,MikeWiener
neutral,,Virgin America,khartline
positive,,Virgin America,simpasmore
negative,Customer Service Issue,Virgin America,ChrysiChrysic
negative,Cancelled Flight,Virgin America,ChrysiChrysic
neutral,,Virgin America,TTINAC11
neutral,,Virgin America,elaurawrr
negative,Customer Service Issue,Virgin America,joyabsalon
negative,Cancelled Flight,Virgin America,meladorri
positive,,Virgin America,miaerolinea
positive,,Virgin America,archiegips
neutral,,Virgin America,obiwantoby
negative,Can't Tell,Virgin America,MarwaYousofzoy
negative,Flight Attendant Complaints,Virgin America,TTINAC11
neutral,,Virgin America,TheNotoriousLEX
positive,,Virgin America,advertisingdiva
neutral,,Virgin America,Floxie10
negative,Flight Booking Problems,Virgin America,alexrkonrad
negative,Can't Tell,Virgin America,MarwaYousofzoy
positive,,Virgin America,lexiesalas
negative,Flight Booking Problems,Virgin America,MaximWheatley
negative,Cancelled Flight,Virgin America,FiDiFamilies
negative,Flight Booking Problems,Virgin America,lexiesalas
negative,Cancelled Flight,Virgin America,Artenis15
negative,Cancelled Flight,Virgin America,NancyJFriedman
positive,,Virgin America,JT_Magana
negative,Customer Service Issue,Virgin America,MaximWheatley
positive,,Virgin America,carabubes
neutral,,Virgin America,carabubes
positive,,Virgin America,wmrrock
positive,,Virgin America,DailyBillboard
positive,,Virgin America,BigRichTexasPam
positive,,Virgin America,rtw4
neutral,,Virgin America,casualdiego
positive,,Virgin America,kyle_romanoff
negative,Bad Flight,Virgin America,wmrrock
negative,Late Flight,Virgin America,wmrrock
negative,Cancelled Flight,Virgin America,BigRichTexasPam
positive,,Virgin America,aaronkurlander
negative,Cancelled Flight,Virgin America,MistakeCakeJake
negative,Customer Service Issue,Virgin America,NoelArtiles
neutral,,Virgin America,floatingatoll
negative,Customer Service Issue,Virgin America,floatingatoll
negative,Cancelled Flight,Virgin America,aaronkurlander
negative,Cancelled Flight,Virgin America,aaronkurlander
negative,Customer Service Issue,Virgin America,borknagar
negative,Flight Booking Problems,Virgin America,propsonline
negative,Cancelled Flight,Virgin America,propsonline
positive,,Virgin America,carlos89178
positive,,Virgin America,carlos89178
negative,Can't Tell,Virgin America,shounshounette
neutral,,Virgin America,alanzeino
negative,Customer Service Issue,Virgin America,DonnellyPatrick
positive,,Virgin America,stefanpinto
negative,Flight Booking Problems,Virgin America,josephschwegler
positive,,Virgin America,jennifer_caron
positive,,Virgin America,miaerolinea
positive,,Virgin America,ninjasistah
negative,Customer Service Issue,Virgin America,daniellewolff
positive,,Virgin America,EleonoraKaras
positive,,Virgin America,carlosondrums
positive,,Virgin America,ninjasistah
negative,Late Flight,Virgin America,stephenasilverm
negative,Cancelled Flight,Virgin America,mrl6626
positive,,Virgin America,SunRighteous
positive,,Virgin America,readerriter
neutral,,Virgin America,jeredscott
neutral,,Virgin America,eric_t_lee
negative,Customer Service Issue,Virgin America,bluesmoon
negative,Lost Luggage,Virgin America,RedSoxGirl1976
positive,,Virgin America,InuAtah
negative,Customer Service Issue,Virgin America,borknagar
positive,,Virgin America,Recessionista
positive,,Virgin America,moosekazmi
positive,,Virgin America,_LisaCap
negative,Bad Flight,Virgin America,eatgregeat
negative,Flight Booking Problems,Virgin America,alanzeino
negative,Damaged Luggage,Virgin America,khartline
positive,,Virgin America,courtDMC
neutral,,Virgin America,woawABQ
positive,,Virgin America,Cydney_Chase
neutral,,Virgin America,AirlineFuel
neutral,,Virgin America,OriginalTuna
neutral,,Virgin America,ImThankfulRadio
positive,,Virgin America,AnnaProsser
negative,Bad Flight,Virgin America,HenryLucero
neutral,,Virgin America,daisy1016
neutral,,Virgin America,TGSOFL
negative,Bad Flight,Virgin America,stephanieslome
negative,Customer Service Issue,Virgin America,Alex_Ricardo
positive,,Virgin America,djchuang
negative,Can't Tell,Virgin America,miekd
negative,Customer Service Issue,Virgin America,insideout
neutral,,Virgin America,AirlineFuel
neutral,,Virgin America,fromtheleftseat
positive,,Virgin America,AlyssaJenS
neutral,,Virgin America,Kevin_E_Park
neutral,,Virgin America,FlexinFinessinB
positive,,Virgin America,drsaadiaim
positive,,Virgin America,MaverickGamersX
negative,Bad Flight,Virgin America,MsReeseGirl
neutral,,Virgin America,AirlineFuel
positive,,Virgin America,CanPOREOTICS
positive,,Virgin America,MaverickGamersX
neutral,,Virgin America,LizaUtter
neutral,,Virgin America,crj_lll
negative,Lost Luggage,Virgin America,snellbell
positive,,Virgin America,AcronymBex
negative,Customer Service Issue,Virgin America,SleeplessByte
neutral,,Virgin America,AcronymBex
neutral,,Virgin America,notthatnathan
neutral,,Virgin America,Sleubeau
neutral,,Virgin America,crj_lll
negative,Can't Tell,Virgin America,Yorkshire_D
negative,Flight Attendant Complaints,Virgin America,SaraBabs
negative,Bad Flight,Virgin America,AdamSinger
neutral,,Virgin America,crj_lll
neutral,,Virgin America,AirlineFuel
negative,Flight Booking Problems,Virgin America,notthatnathan
positive,,Virgin America,polaroidmisha
neutral,,Virgin America,AirlineFuel
neutral,,Virgin America,NazarFakih
neutral,,Virgin America,JetBlueNews
neutral,,Virgin America,AirlineFuel
negative,Customer Service Issue,Virgin America,RobynMatza
neutral,,Virgin America,SocialMedia305
neutral,,Virgin America,sbaaronson
negative,Customer Service Issue,Virgin America,miekd
neutral,,Virgin America,StevenMYoung
positive,,Virgin America,thecompostcook
negative,Lost Luggage,Virgin America,snellbell
negative,Flight Booking Problems,Virgin America,chrisaguiar88
positive,,Virgin America,matthewhirsch
positive,,Virgin America,GabriellaDago
positive,,Virgin America,AdamSinger
neutral,,Virgin America,GabriellaDago
neutral,,Virgin America,MarcPerez
positive,,Virgin America,JayRockerz
neutral,,Virgin America,mlbkid162
positive,,Virgin America,Hwoodboy24
negative,Can't Tell,Virgin America,perMicah
neutral,,Virgin America,GabriellaDago
negative,Flight Booking Problems,Virgin America,perMicah
negative,Customer Service Issue,Virgin America,iamnayr
neutral,,Virgin America,gemmabow19
neutral,,Virgin America,BFPTravel
negative,Customer Service Issue,Virgin America,davidhfe
negative,Flight Booking Problems,Virgin America,davidhfe
neutral,,Virgin America,chet
positive,,Virgin America,TMAnderson10
positive,,Virgin America,SSal
neutral,,Virgin America,SoleXclusive415
neutral,,Virgin America,SSal
neutral,,Virgin America,SSal
neutral,,Virgin America,SoleXclusive415
negative,Lost Luggage,Virgin America,j_payton
neutral,,Virgin America,AQR415
positive,,Virgin America,SuuperG
positive,,Virgin America,imacsweb
positive,,Virgin America,SuuperG
negative,Flight Booking Problems,Virgin America,El_Nel_81
negative,Flight Booking Problems,Virgin America,zoelle
neutral,,Virgin America,FreyaBevan_Fund
neutral,,Virgin America,traveldg
negative,Customer Service Issue,Virgin America,joyabsalon
neutral,,Virgin America,adavidson26
neutral,,Virgin America,FreyaBevan_Fund
positive,,Virgin America,SigmaRue
positive,,Virgin America,MNDNCH
neutral,,Virgin America,AArt763
negative,Customer Service Issue,Virgin America,conorjrogers
negative,Late Flight,Virgin America,bonniecamp
negative,Customer Service Issue,Virgin America,GaySkiWeek
positive,,Virgin America,graveyardtravel
negative,Can't Tell,Virgin America,taygarrett
negative,Flight Booking Problems,Virgin America,jamonholmgren
negative,Bad Flight,Virgin America,BlackFlagShoppe
negative,longlines,Virgin America,c_crubin
neutral,,Virgin America,fromtheleftseat
negative,Customer Service Issue,Virgin America,richeyvicious
negative,Flight Booking Problems,Virgin America,richeyvicious
negative,Flight Booking Problems,Virgin America,taygarrett
neutral,,Virgin America,LondonBrushCo
neutral,,Virgin America,sapnasparikh
positive,,Virgin America,alexster4324
positive,,Virgin America,beasharif
neutral,,Virgin America,MajorPaayne
neutral,,Virgin America,giannilee
positive,,Virgin America,Rgulojr
positive,,Virgin America,_kristenicole_
neutral,,Virgin America,CuteMonsterDad
neutral,,Virgin America,chase_f
negative,Can't Tell,Virgin America,danteusa1
negative,Bad Flight,Virgin America,wmrrock
negative,Bad Flight,Virgin America,wmrrock
positive,,Virgin America,mightymeesh
negative,Customer Service Issue,Virgin America,Matthewbenz
negative,Late Flight,Virgin America,LondonBrushCo
negative,Customer Service Issue,Virgin America,mightymeesh
neutral,,Virgin America,0504Traveller
positive,,Virgin America,KarinSLee
positive,,Virgin America,EricLMitchell
negative,Can't Tell,Virgin America,fattbelly
neutral,,Virgin America,itsGREEKSAUSAGE
positive,,Virgin America,kzone7
positive,,Virgin America,heatherbeckel
neutral,,Virgin America,TLoui143
positive,,Virgin America,marshman240
neutral,,Virgin America,chase_f
negative,Customer Service Issue,Virgin America,hungarianhc
positive,,Virgin America,MarcSM
positive,,Virgin America,quackling
neutral,,Virgin America,tedreednc
neutral,,Virgin America,stevengcpa
neutral,,Virgin America,DOHA_Insight
neutral,,Virgin America,LibyaBizInfo
neutral,,Virgin America,AlgeriaTweets
positive,,Virgin America,_raulll
positive,,Virgin America,TLoui143
neutral,,Virgin America,mikeb51431
negative,Flight Booking Problems,Virgin America,gbone34
positive,,Virgin America,GeorgettePierre
negative,Customer Service Issue,Virgin America,edzme
positive,,Virgin America,Joaquin68443
negative,Bad Flight,Virgin America,contimike
negative,Bad Flight,Virgin America,contimike
neutral,,Virgin America,nschneble
positive,,Virgin America,eganist
neutral,,Virgin America,pointsguy
neutral,,Virgin America,timlopez
positive,,Virgin America,mirandahaustin
neutral,,Virgin America,franks105
positive,,Virgin America,iamDavidAustin
negative,Customer Service Issue,Virgin America,mekirkpatrick
negative,Customer Service Issue,Virgin America,jpf4986
negative,Customer Service Issue,Virgin America,Pace6445
neutral,,Virgin America,wmrrock
negative,Can't Tell,Virgin America,HuntTreadwell
positive,,Virgin America,wmrrock
neutral,,Virgin America,jsamaudio
neutral,,Virgin America,wmrrock
positive,,Virgin America,JCervantezzz
positive,,Virgin America,GabriellaDago
negative,Can't Tell,Virgin America,wmrrock
negative,Customer Service Issue,Virgin America,matthew
negative,longlines,Virgin America,mrpresident1776
neutral,,Virgin America,elimae724
positive,,Virgin America,ctpsts
positive,,Virgin America,jhen_d
neutral,,Virgin America,AUStinAirport
neutral,,Virgin America,reaganroy
negative,Flight Booking Problems,Virgin America,onewil
neutral,,Virgin America,PlantFoodDude
positive,,Virgin America,jtwiegele
neutral,,Virgin America,sporch62
positive,,Virgin America,chrisdpatton
positive,,Virgin America,stopasyougo
neutral,,Virgin America,AlMehairiAUH
neutral,,Virgin America,AwsmSpaceMonkey
negative,Bad Flight,Virgin America,iamWalkerR
negative,Bad Flight,Virgin America,MarcoFlavioM
neutral,,Virgin America,0504Traveller
positive,,Virgin America,dreamerintexas
positive,,Virgin America,WilsonJoshuaLee
neutral,,Virgin America,sanjosedr
positive,,Virgin America,dsg0110
positive,,Virgin America,lakebrahlands
neutral,,Virgin America,opteyemisg
neutral,,Virgin America,steve97070
positive,,Virgin America,letherebeflight
negative,Cancelled Flight,Virgin America,NickyB617
neutral,,Virgin America,gemmabow19
negative,Can't Tell,Virgin America,total_janarchy
negative,Damaged Luggage,Virgin America,total_janarchy
negative,Flight Attendant Complaints,Virgin America,total_janarchy
negative,Bad Flight,Virgin America,total_janarchy
negative,Customer Service Issue,Virgin America,helenalor
positive,,Virgin America,HaraLillier
neutral,,Virgin America,helenhoppock
positive,,Virgin America,KallysAlbertSr
positive,,Virgin America,Price714
positive,,Virgin America,mctrees02
neutral,,Virgin America,mctrees02
negative,Late Flight,Virgin America,lindsowesto
neutral,,Virgin America,TheAdamRizz
positive,,Virgin America,TheAdamRizz
neutral,,Virgin America,josiebarosie
neutral,,Virgin America,killawattannie
neutral,,Virgin America,JAYXXX1
positive,,Virgin America,myvortex
positive,,Virgin America,miaerolinea
positive,,Virgin America,mynejas
positive,,Virgin America,SimplyImplicit
positive,,Virgin America,mynejas
neutral,,Virgin America,SimplyImplicit
negative,Customer Service Issue,Virgin America,wtcgroup
positive,,Virgin America,tookthecollar
neutral,,Virgin America,ICEportal
neutral,,Virgin America,EnonThaPhenom
neutral,,Virgin America,mattejacob
neutral,,Virgin America,TheDCD
positive,,Virgin America,Hakenson_LIOX
positive,,Virgin America,funky_bbq
positive,,Virgin America,HereticPharaoh
neutral,,Virgin America,judy_202
negative,Customer Service Issue,Virgin America,reekyrocks
positive,,Virgin America,BrandonS002
negative,Cancelled Flight,Virgin America,RyScanlon
neutral,,Virgin America,RyScanlon
neutral,,Virgin America,itsjulianking
negative,Customer Service Issue,Virgin America,RyScanlon
negative,Customer Service Issue,Virgin America,RyScanlon
negative,Customer Service Issue,Virgin America,cayocrazy
negative,Flight Booking Problems,Virgin America,paulhting
positive,,Virgin America,onerockgypsy
neutral,,Virgin America,paulhting
positive,,Virgin America,onerockgypsy
positive,,Virgin America,kellitweets
neutral,,Virgin America,the22207
positive,,Virgin America,Perceptions
negative,Bad Flight,Virgin America,tan_talize
negative,Late Flight,Virgin America,jonovoss
negative,Customer Service Issue,Virgin America,texasjuls
neutral,,Virgin America,loungesong
positive,,Virgin America,ryan_kravontka
neutral,,Virgin America,WWJAYD
neutral,,Virgin America,waytogopdx
neutral,,Virgin America,Todd1HHD
positive,,Virgin America,BBahreman
neutral,,Virgin America,PlayjtLV
positive,,United,rdowning76
positive,,United,CoreyAStewart
negative,Cancelled Flight,United,CoralReefer420
negative,Late Flight,United,lsalazarll
positive,,United,rombaa
negative,Can't Tell,United,samidip
neutral,,United,karenmcgregor86
negative,Can't Tell,United,andycheco
neutral,,United,hmansfield
negative,Bad Flight,United,slandail
neutral,,United,karenmcgregor86
positive,,United,nydia376
positive,,United,BK_TheBri
neutral,,United,LarkAfterDark
negative,Flight Booking Problems,United,Ashley_Jeffris
negative,Customer Service Issue,United,CheerTymeDad
negative,Customer Service Issue,United,Nikki62878
positive,,United,JordanTapiia
neutral,,United,nydia376
negative,Lost Luggage,United,Nikki62878
neutral,,United,rissels
neutral,,United,nydia376
negative,Can't Tell,United,WorstThingsBot
positive,,United,Anntasia
neutral,,United,nydia376
negative,Customer Service Issue,United,nydia376
negative,Customer Service Issue,United,nate2482
neutral,,United,akobilarov
neutral,,United,andreaSanger
negative,Can't Tell,United,Guggero
negative,Can't Tell,United,nydia376
neutral,,United,nydia376
negative,Customer Service Issue,United,runwithmiles
negative,Customer Service Issue,United,nate2482
neutral,,United,CheerTymeDad
negative,Late Flight,United,BocheBillions
negative,longlines,United,CoachJoette
negative,Can't Tell,United,lotusfitness
negative,Customer Service Issue,United,megfalcone
negative,Customer Service Issue,United,nydia376
negative,Can't Tell,United,OohLaLa09
negative,Flight Attendant Complaints,United,OohLaLa09
neutral,,United,cehertz
neutral,,United,BK_TheBri
neutral,,United,Nikki62878
neutral,,United,Guggero
negative,Flight Attendant Complaints,United,fitztango
neutral,,United,F_U_ng
positive,,United,mattwbaker
negative,Customer Service Issue,United,collegepathSS
negative,Cancelled Flight,United,kevintgarner
negative,Lost Luggage,United,Nikki62878
neutral,,United,discobiscuit63
negative,Late Flight,United,kevinfla3
positive,,United,sundialtours
negative,Flight Booking Problems,United,SEGrower
negative,Late Flight,United,cristobalwong
negative,Can't Tell,United,logainne
positive,,United,LukeGzus
negative,Can't Tell,United,chrsmichaels
negative,Flight Booking Problems,United,mattwbaker
negative,Damaged Luggage,United,Joestudent11
negative,Lost Luggage,United,Joestudent11
negative,Lost Luggage,United,johnkarpf
negative,Customer Service Issue,United,CheerTymeDad
negative,Customer Service Issue,United,johnkarpf
negative,Customer Service Issue,United,Micaela4Mizzou
neutral,,United,BocheBillions
negative,Customer Service Issue,United,discobiscuit63
negative,Cancelled Flight,United,Peter_Abrahamse
negative,Can't Tell,United,fuchsialipstick
negative,Late Flight,United,fuchsialipstick
neutral,,United,kevintgarner
neutral,,United,fuchsialipstick
positive,,United,discobiscuit63
negative,Flight Booking Problems,United,discobiscuit63
negative,Flight Attendant Complaints,United,fuchsialipstick
negative,Customer Service Issue,United,discobiscuit63
negative,Can't Tell,United,LarkAfterDark
negative,Flight Booking Problems,United,getmeontop
negative,Customer Service Issue,United,jkentakula
negative,Damaged Luggage,United,jasonpblakey
negative,Customer Service Issue,United,discobiscuit63
negative,Can't Tell,United,jkentakula
negative,Flight Booking Problems,United,BillBra95467934
positive,,United,JoshuaIsWrong
neutral,,United,jkentakula
negative,Customer Service Issue,United,debweinz
negative,Flight Attendant Complaints,United,mbelliss
negative,Flight Booking Problems,United,mattbunk
negative,Can't Tell,United,throthra
negative,Customer Service Issue,United,throthra
negative,Lost Luggage,United,jakepoznak
negative,Customer Service Issue,United,AldenGlobe
positive,,United,cehertz
neutral,,United,Mateyush
positive,,United,ShawnaNewman
neutral,,United,Sri_Philips
neutral,,United,CATTTastrophe
negative,Flight Attendant Complaints,United,CassiusCCIDog
negative,Flight Attendant Complaints,United,CassiusCCIDog
negative,Late Flight,United,guichaves1989
negative,Bad Flight,United,PFlandersdc
positive,,United,jakepoznak
negative,Late Flight,United,RaquelSnyderDC
negative,Late Flight,United,PFlandersdc
negative,Customer Service Issue,United,jkentakula
positive,,United,CoreyAStewart
neutral,,United,alex_nieves
neutral,,United,MyCustoAdvocate
negative,longlines,United,JohnJReid
neutral,,United,screamingbrat
negative,Customer Service Issue,United,Maxxisonfire
neutral,,United,kelseyblack92
negative,Customer Service Issue,United,Guggero
negative,Late Flight,United,Twist_OP
negative,Customer Service Issue,United,andreaSanger
negative,Customer Service Issue,United,jammyrascals
negative,Customer Service Issue,United,AmericanNarad
negative,Flight Booking Problems,United,fatwmnonthemtn
negative,Customer Service Issue,United,tuckerI84
neutral,,United,christinphillip
negative,Lost Luggage,United,ChrisNielsen2
negative,Bad Flight,United,campilley
neutral,,United,Hannahsfight1
neutral,,United,brimalxx
negative,Late Flight,United,Twist_OP
neutral,,United,Evan_Flay
negative,Bad Flight,United,Evan_Flay
negative,Customer Service Issue,United,Evan_Flay
negative,Customer Service Issue,United,Evan_Flay
negative,Can't Tell,United,8629Fissile
negative,Customer Service Issue,United,Evan_Flay
negative,Flight Attendant Complaints,United,Evan_Flay
negative,Can't Tell,United,Evan_Flay
negative,Customer Service Issue,United,christinphillip
negative,Customer Service Issue,United,growingpangs
neutral,,United,TaylorGravett
negative,Customer Service Issue,United,Mateyush
negative,Lost Luggage,United,mortgagesbycoop
negative,Can't Tell,United,dlm_3
neutral,,United,Cecilia_stories
negative,Late Flight,United,etiyi
neutral,,United,etiyi
negative,Can't Tell,United,throthra
negative,Can't Tell,United,throthra
negative,Flight Attendant Complaints,United,throthra
negative,Customer Service Issue,United,missinver
neutral,,United,cehertz
negative,Customer Service Issue,United,_mhertz
negative,Bad Flight,United,AurelAssan
negative,Lost Luggage,United,ajpape
negative,Customer Service Issue,United,christinphillip
neutral,,United,WhatSarahSayzz
neutral,,United,kathryn217628
negative,Customer Service Issue,United,BouleChitte
negative,Late Flight,United,xRaeCatherine
negative,Customer Service Issue,United,missinver
neutral,,United,BouleChitte
positive,,United,BouleChitte
negative,Flight Booking Problems,United,Kalbozey
negative,Late Flight,United,Sri_Philips
neutral,,United,BouleChitte
negative,Late Flight,United,bcarlsrud
negative,Late Flight,United,dkesten71
neutral,,United,LukeGzus
positive,,United,ShawnaNewman
negative,Cancelled Flight,United,BouleChitte
negative,Can't Tell,United,Evan_Flay
negative,Flight Attendant Complaints,United,Evan_Flay
negative,Bad Flight,United,Evan_Flay
negative,Cancelled Flight,United,bcarlsrud
negative,Can't Tell,United,Evan_Flay
negative,Bad Flight,United,Evan_Flay
negative,Can't Tell,United,MeganHolstein
neutral,,United,brooklyn_dodger
positive,,United,T2News
neutral,,United,ShawnaNewman
negative,Customer Service Issue,United,BrittanyWolgast
negative,Cancelled Flight,United,bcarlsrud
negative,Customer Service Issue,United,Evan_Flay
negative,Bad Flight,United,Evan_Flay
negative,Can't Tell,United,CATTTastrophe
positive,,United,Gouwerijn
negative,Customer Service Issue,United,GSG_President
negative,Lost Luggage,United,jasonpblakey
positive,,United,RichHays
negative,Damaged Luggage,United,Spanner2
neutral,,United,msalvatore15
negative,Can't Tell,United,inspirevery
negative,Late Flight,United,Twist_OP
positive,,United,jakepoznak
negative,Customer Service Issue,United,sothenbethsaid
negative,Customer Service Issue,United,sothenbethsaid
negative,Lost Luggage,United,michaelsalinger
positive,,United,SaipanBrad
negative,Customer Service Issue,United,sothenbethsaid
negative,Lost Luggage,United,michaelsalinger
neutral,,United,JesseLitsch
negative,Customer Service Issue,United,sothenbethsaid
negative,Lost Luggage,United,LukeGzus
neutral,,United,8629Fissile
neutral,,United,LukeGzus
negative,Customer Service Issue,United,shortfatnhappy
negative,Lost Luggage,United,LukeGzus
positive,,United,PhilFromChico
negative,Customer Service Issue,United,Finrz
negative,Customer Service Issue,United,FreedomFilmNJ
negative,Late Flight,United,DJPartyMarty
negative,Customer Service Issue,United,sothenbethsaid
